City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Port Keats,AU,85.17,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
6,Kapaa,US,78.8,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
8,Maun,BW,86.0,overcast clouds,-19.98,23.42,Enviro Villa
13,Banda Aceh,ID,82.85,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
24,Payo,ID,85.44,light rain,-3.75,103.64,Mess keban agung
25,Hoa Binh,VN,78.8,clear sky,20.81,105.34,Hoa Dao Hotel
36,Abu Kamal,SY,75.87,clear sky,34.45,40.92,محطة التلفاز
39,Hithadhoo,MV,81.91,light rain,-0.6,73.08,Scoop Guest House
43,Saint-Philippe,RE,80.6,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
44,Bengkulu,ID,80.71,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
45,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
48,Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
49,Sinnamary,GF,78.21,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
50,Neiafu,TO,77.86,light rain,-18.65,-173.98,Mystic Sands
54,Port-Gentil,GA,82.4,broken clouds,-0.72,8.78,Fengshui Residence
55,Dakar,SN,77.0,clear sky,14.69,-17.44,Novotel Dakar
71,Dehloran,IR,81.27,clear sky,32.69,47.27,کافه گیم استورم
72,Omboue,GA,77.04,light rain,-1.57,9.26,Hotel Olako
74,Faya,SA,80.6,few clouds,18.39,42.45,مقبرة ال مجمل
82,Chipinge,ZW,82.71,few clouds,-20.19,32.62,Mutare Club
84,Georgetown,MY,86.0,few clouds,5.41,100.34,Cititel Penang
85,Road Town,VG,78.01,light rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
88,Hobyo,SO,83.79,broken clouds,5.35,48.53,Osmani Hotel
94,Buraydah,SA,84.2,dust,26.33,43.98,Mövenpick Hotel Qassim
101,Kerema,PG,80.1,light rain,-7.96,145.78,Elore Lodge
104,Butaritari,KI,83.26,scattered clouds,3.07,172.79,Isles Sunset Lodge
113,Bom Jesus,BR,75.2,few clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
116,Kahului,US,78.8,clear sky,20.89,-156.47,Maui Seaside Hotel
121,Kavieng,PG,82.98,broken clouds,-2.57,150.8,Nusa Island Retreat
123,Cabedelo,BR,80.6,broken clouds,-6.98,-34.83,Lua Mansa Pousada
124,Dingle,PH,78.28,moderate rain,11.0,122.67,SEGAYA PROPERTY
126,Dwarka,IN,85.98,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
128,Labuhan,ID,85.12,light rain,-6.88,112.21,bador sepret
134,Najran,SA,84.2,clear sky,17.49,44.13,محمد هادي ال فطيح
