City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2020-11-09 11:15:46,-33.59,26.89,61.56,80,100,19.73
1,Castro,BR,2020-11-09 11:15:46,-24.79,-50.01,62.28,89,92,7.36
2,Brae,GB,2020-11-09 11:15:47,60.4,-1.35,51.8,93,75,12.75
3,Santa Lucia,ES,2020-11-09 11:15:47,27.91,-15.54,75.0,64,40,16.11
4,Sompeta,IN,2020-11-09 11:15:47,18.93,84.6,78.66,58,0,8.39
5,Dingle,PH,2020-11-09 11:15:48,11.0,122.67,78.03,88,87,4.43
6,Hay River,CA,2020-11-09 11:15:48,60.82,-115.8,21.2,73,54,16.11
7,Albany,US,2020-11-09 11:15:48,42.6,-73.97,42.01,100,1,1.68
8,Gorontalo,ID,2020-11-09 11:15:49,0.54,123.06,77.34,79,51,4.81
9,Pacific Grove,US,2020-11-09 11:15:49,36.62,-121.92,44.6,65,1,8.05
10,Arraial Do Cabo,BR,2020-11-09 11:11:28,-22.97,-42.03,75.2,94,90,3.36
11,Hermanus,ZA,2020-11-09 11:15:49,-34.42,19.23,64.0,48,39,3.0
12,Carnarvon,AU,2020-11-09 11:15:50,-24.87,113.63,71.6,78,75,17.22
13,Cape Town,ZA,2020-11-09 11:13:07,-33.93,18.42,69.01,45,40,5.82
14,Merritt Island,US,2020-11-09 11:15:50,28.54,-80.67,79.0,88,90,18.34
15,Souillac,MU,2020-11-09 11:15:02,-20.52,57.52,78.8,69,40,12.75
16,Rikitea,PF,2020-11-09 11:15:51,-23.12,-134.97,72.73,78,43,15.82
17,Challapata,BO,2020-11-09 11:15:51,-18.9,-66.77,49.19,56,0,3.27
18,Avarua,CK,2020-11-09 11:14:32,-21.21,-159.78,71.6,94,100,4.7
19,Punta Arenas,CL,2020-11-09 11:15:52,-53.15,-70.92,41.0,80,0,9.17
20,Monastyrshchina,RU,2020-11-09 11:15:52,54.35,31.84,40.77,67,33,6.35
21,Tawang,IN,2020-11-09 11:15:53,27.58,91.87,46.29,73,36,2.1
22,Atuona,PF,2020-11-09 11:15:53,-9.8,-139.03,77.14,71,18,10.67
23,Naze,JP,2020-11-09 11:14:15,28.37,129.48,68.0,63,20,11.41
24,Bengkulu,ID,2020-11-09 11:15:54,-3.8,102.27,78.42,82,100,0.69
25,Dikson,RU,2020-11-09 11:15:54,73.51,80.55,3.24,94,100,10.96
26,Virginia Beach,US,2020-11-09 11:11:51,36.85,-75.98,55.4,93,75,3.36
27,Bredasdorp,ZA,2020-11-09 11:15:55,-34.53,20.04,66.2,45,0,14.99
28,Weligama,LK,2020-11-09 11:15:55,5.97,80.42,82.92,71,38,5.17
29,Meadow Lake,US,2020-11-09 11:15:55,34.8,-106.54,51.01,34,40,8.05
30,Bethel,US,2020-11-09 11:15:56,41.37,-73.41,46.4,93,1,2.82
31,Karonga,MW,2020-11-09 11:15:56,-9.93,33.93,89.94,37,0,10.51
32,Ushuaia,AR,2020-11-09 11:15:35,-54.8,-68.3,39.2,55,75,9.17
33,Kingaroy,AU,2020-11-09 11:15:56,-26.53,151.83,62.6,67,40,11.41
34,Kapaa,US,2020-11-09 11:15:57,22.08,-159.32,78.8,78,20,18.34
35,Busselton,AU,2020-11-09 11:11:26,-33.65,115.33,52.0,91,51,1.99
36,Hobart,AU,2020-11-09 11:11:58,-42.88,147.33,62.6,63,0,5.82
37,Romanovskaya,RU,2020-11-09 11:15:57,47.54,42.03,50.02,75,100,2.01
38,College,US,2020-11-09 11:15:58,64.86,-147.8,28.4,79,90,10.29
39,Vao,NC,2020-11-09 11:15:58,-22.67,167.48,71.1,64,4,13.65
40,Tuktoyaktuk,CA,2020-11-09 11:15:58,69.45,-133.04,-1.55,91,90,14.72
