City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,11/9/2020 11:15,-33.59,26.89,61.56,80,100,19.73
1,Castro,BR,11/9/2020 11:15,-24.79,-50.01,62.28,89,92,7.36
2,Brae,GB,11/9/2020 11:15,60.4,-1.35,51.8,93,75,12.75
3,Santa Lucia,ES,11/9/2020 11:15,27.91,-15.54,75,64,40,16.11
4,Sompeta,IN,11/9/2020 11:15,18.93,84.6,78.66,58,0,8.39
5,Dingle,PH,11/9/2020 11:15,11,122.67,78.03,88,87,4.43
6,Hay River,CA,11/9/2020 11:15,60.82,-115.8,21.2,73,54,16.11
7,Albany,US,11/9/2020 11:15,42.6,-73.97,42.01,100,1,1.68
8,Gorontalo,ID,11/9/2020 11:15,0.54,123.06,77.34,79,51,4.81
9,Pacific Grove,US,11/9/2020 11:15,36.62,-121.92,44.6,65,1,8.05
10,Arraial Do Cabo,BR,11/9/2020 11:11,-22.97,-42.03,75.2,94,90,3.36
11,Hermanus,ZA,11/9/2020 11:15,-34.42,19.23,64,48,39,3
12,Carnarvon,AU,11/9/2020 11:15,-24.87,113.63,71.6,78,75,17.22
13,Cape Town,ZA,11/9/2020 11:13,-33.93,18.42,69.01,45,40,5.82
14,Merritt Island,US,11/9/2020 11:15,28.54,-80.67,79,88,90,18.34
15,Souillac,MU,11/9/2020 11:15,-20.52,57.52,78.8,69,40,12.75
16,Rikitea,PF,11/9/2020 11:15,-23.12,-134.97,72.73,78,43,15.82
17,Challapata,BO,11/9/2020 11:15,-18.9,-66.77,49.19,56,0,3.27
18,Avarua,CK,11/9/2020 11:14,-21.21,-159.78,71.6,94,100,4.7
19,Punta Arenas,CL,11/9/2020 11:15,-53.15,-70.92,41,80,0,9.17
20,Monastyrshchina,RU,11/9/2020 11:15,54.35,31.84,40.77,67,33,6.35
21,Tawang,IN,11/9/2020 11:15,27.58,91.87,46.29,73,36,2.1
22,Atuona,PF,11/9/2020 11:15,-9.8,-139.03,77.14,71,18,10.67
23,Naze,JP,11/9/2020 11:14,28.37,129.48,68,63,20,11.41
24,Bengkulu,ID,11/9/2020 11:15,-3.8,102.27,78.42,82,100,0.69
25,Dikson,RU,11/9/2020 11:15,73.51,80.55,3.24,94,100,10.96
26,Virginia Beach,US,11/9/2020 11:11,36.85,-75.98,55.4,93,75,3.36
27,Bredasdorp,ZA,11/9/2020 11:15,-34.53,20.04,66.2,45,0,14.99
28,Weligama,LK,11/9/2020 11:15,5.97,80.42,82.92,71,38,5.17
29,Meadow Lake,US,11/9/2020 11:15,34.8,-106.54,51.01,34,40,8.05
30,Bethel,US,11/9/2020 11:15,41.37,-73.41,46.4,93,1,2.82
31,Karonga,MW,11/9/2020 11:15,-9.93,33.93,89.94,37,0,10.51
32,Ushuaia,AR,11/9/2020 11:15,-54.8,-68.3,39.2,55,75,9.17
33,Kingaroy,AU,11/9/2020 11:15,-26.53,151.83,62.6,67,40,11.41
34,Kapaa,US,11/9/2020 11:15,22.08,-159.32,78.8,78,20,18.34
35,Busselton,AU,11/9/2020 11:11,-33.65,115.33,52,91,51,1.99
36,Hobart,AU,11/9/2020 11:11,-42.88,147.33,62.6,63,0,5.82
37,Romanovskaya,RU,11/9/2020 11:15,47.54,42.03,50.02,75,100,2.01
38,College,US,11/9/2020 11:15,64.86,-147.8,28.4,79,90,10.29
39,Vao,NC,11/9/2020 11:15,-22.67,167.48,71.1,64,4,13.65
40,Tuktoyaktuk,CA,11/9/2020 11:15,69.45,-133.04,0,91,90,14.72
41,Mataura,NZ,11/9/2020 11:15,-46.19,168.86,46,89,31,3
42,Constitucion,CL,11/9/2020 11:15,-35.33,-72.42,56.55,66,0,5.12
43,Hasaki,JP,11/9/2020 11:15,35.73,140.83,51.8,71,75,2.24
44,Beloha,MG,11/9/2020 11:16,-25.17,45.05,104.9,8,0,11.81
45,Ballina,AU,11/9/2020 11:16,-28.87,153.57,62.6,93,90,8.59
46,Tahta,EG,11/9/2020 11:16,26.77,31.5,78.8,39,0,6.93
47,Severo-Kurilsk,RU,11/9/2020 11:16,50.68,156.12,37.04,90,100,14.85
48,Khudumelapye,BW,11/9/2020 11:11,-23.88,24.75,90.93,29,90,11.45
49,Esperance,AU,11/9/2020 11:11,-33.87,121.9,68,72,40,11.41
50,Faanui,PF,11/9/2020 11:16,-16.48,-151.75,78.55,79,100,12.33
51,Mar Del Plata,AR,11/9/2020 11:15,-38,-57.56,62.01,93,75,4.7
52,Alta Floresta,BR,11/9/2020 11:16,-9.88,-56.09,74.14,94,100,0.6
53,Caravelas,BR,11/9/2020 11:16,-17.71,-39.25,80.2,68,74,7.31
54,Cidreira,BR,11/9/2020 11:11,-30.18,-50.21,68.74,86,100,17.38
