City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,2020-11-10 10:22:17,71.92,114.08,6.67,94,100,9.33,overcast clouds
1,Zheleznodorozhnyy,RU,2020-11-10 10:22:17,55.75,38.0,37.4,74,75,15.66,broken clouds
2,Punta Arenas,CL,2020-11-10 10:20:42,-53.15,-70.92,44.6,65,40,9.17,scattered clouds
3,Port Keats,AU,2020-11-10 10:22:17,-14.25,129.55,85.17,74,65,8.97,broken clouds
4,Salina Cruz,MX,2020-11-10 10:22:18,16.17,-95.2,74.73,84,4,5.21,clear sky
5,Yartsevo,RU,2020-11-10 10:20:29,55.07,32.7,38.75,78,90,8.72,overcast clouds
6,Kapaa,US,2020-11-10 10:22:18,22.08,-159.32,78.8,78,90,16.11,overcast clouds
7,Cape Town,ZA,2020-11-10 10:19:08,-33.93,18.42,71.01,42,0,18.34,clear sky
8,Maun,BW,2020-11-10 10:20:30,-19.98,23.42,86.0,40,90,10.29,overcast clouds
9,Yellowknife,CA,2020-11-10 10:22:18,62.46,-114.35,10.4,72,75,25.28,light snow
10,Hamilton,US,2020-11-10 10:19:38,39.18,-84.53,63.0,72,1,8.05,clear sky
11,Nikolskoye,RU,2020-11-10 10:22:19,59.7,30.79,40.44,78,0,11.18,clear sky
12,Vardo,NO,2020-11-10 10:22:19,70.37,31.11,32.0,78,40,18.34,scattered clouds
13,Banda Aceh,ID,2020-11-10 10:22:19,5.56,95.32,82.85,76,97,4.21,moderate rain
14,Carnarvon,AU,2020-11-10 10:22:19,-24.87,113.63,71.6,56,0,20.8,clear sky
15,Berdigestyakh,RU,2020-11-10 10:22:20,62.1,126.7,1.72,93,100,5.55,light snow
16,Hanmer Springs,NZ,2020-11-10 10:22:20,-42.52,172.82,44.02,86,96,0.83,overcast clouds
17,Esperance,AU,2020-11-10 10:22:21,-33.87,121.9,57.2,82,75,33.33,broken clouds
18,Erenhot,CN,2020-11-10 10:22:21,43.65,111.98,43.68,52,0,8.01,clear sky
19,Barrow,US,2020-11-10 10:22:21,71.29,-156.79,8.6,78,1,19.46,clear sky
20,Mabaruma,GY,2020-11-10 10:22:21,8.2,-59.78,69.6,99,23,1.7,few clouds
21,Pazaric,BA,2020-11-10 10:22:21,43.79,18.16,37.4,100,90,1.12,mist
22,Mataura,NZ,2020-11-10 10:22:22,-46.19,168.86,50.0,90,0,1.01,clear sky
23,Urucara,BR,2020-11-10 10:22:22,-2.54,-57.76,73.51,91,100,2.71,light rain
24,Payo,ID,2020-11-10 10:22:23,-3.75,103.64,85.44,70,63,2.35,light rain
25,Hoa Binh,VN,2020-11-10 10:22:23,20.81,105.34,78.8,29,0,5.82,clear sky
26,Iqaluit,CA,2020-11-10 10:22:23,63.75,-68.51,1.4,84,75,9.17,broken clouds
27,Longyearbyen,SJ,2020-11-10 10:18:04,78.22,15.64,23.0,67,75,10.29,light shower snow
28,Ushuaia,AR,2020-11-10 10:20:08,-54.8,-68.3,44.6,65,40,17.22,scattered clouds
29,Port Elizabeth,ZA,2020-11-10 10:22:24,-33.92,25.57,66.2,72,20,14.99,few clouds
30,Osypenko,UA,2020-11-10 10:22:24,46.91,36.83,50.0,53,99,7.0,overcast clouds
31,Airai,TL,2020-11-10 10:22:25,-8.93,125.41,65.57,100,100,2.3,moderate rain
32,Evensk,RU,2020-11-10 10:22:25,61.95,159.23,2.21,85,84,10.04,broken clouds
33,Moron,AR,2020-11-10 10:17:38,-34.65,-58.62,66.0,94,5,6.96,clear sky
34,Qaanaaq,GL,2020-11-10 10:22:25,77.48,-69.36,-4.99,62,0,5.01,clear sky
35,Ruidoso,US,2020-11-10 10:18:03,33.33,-105.67,28.4,54,1,10.29,clear sky
36,Abu Kamal,SY,2020-11-10 10:22:26,34.45,40.92,75.87,41,0,1.57,clear sky
37,Hearst,CA,2020-11-10 10:18:35,49.68,-83.67,46.4,100,100,4.7,light rain
38,Tuktoyaktuk,CA,2020-11-10 10:22:26,69.45,-133.04,-5.73,91,3,10.51,clear sky
39,Hithadhoo,MV,2020-11-10 10:22:27,-0.6,73.08,81.91,78,100,20.49,light rain
40,Kyra,RU,2020-11-10 10:22:27,49.58,111.98,28.15,91,0,1.88,clear sky
41,Mar Del Plata,AR,2020-11-10 10:20:56,-38.0,-57.56,57.2,100,29,5.82,scattered clouds
42,Busselton,AU,2020-11-10 10:22:27,-33.65,115.33,55.0,76,22,3.0,few clouds
43,Saint-Philippe,RE,2020-11-10 10:22:27,-21.36,55.77,80.6,57,40,20.8,scattered clouds
44,Bengkulu,ID,2020-11-10 10:22:28,-3.8,102.27,80.71,83,100,7.74,moderate rain
45,Vaini,TO,2020-11-10 10:22:28,-21.2,-175.2,75.2,88,75,6.93,broken clouds
46,Avera,US,2020-11-10 10:22:28,33.19,-82.53,68.0,86,90,6.93,overcast clouds
47,Hobart,AU,2020-11-10 10:20:02,-42.88,147.33,69.8,60,0,6.93,clear sky
48,Avarua,CK,2020-11-10 10:22:29,-21.21,-159.78,75.2,88,0,13.11,clear sky
49,Sinnamary,GF,2020-11-10 10:22:29,5.38,-52.95,78.21,87,57,9.17,light rain
50,Neiafu,TO,2020-11-10 10:22:29,-18.65,-173.98,77.86,82,85,20.6,light rain
51,La Rochelle,FR,2020-11-10 10:20:04,46.17,-1.15,59.0,82,75,8.05,broken clouds
52,Hermanus,ZA,2020-11-10 10:22:29,-34.42,19.23,70.0,42,1,3.0,clear sky
53,Turukhansk,RU,2020-11-10 10:22:30,65.82,87.98,11.26,96,100,4.16,light snow
